rid,suburbname,postcode,state,startdate,enddate,lastupdate,msoid,centroidid,shapeuuid,changetype,processstate,urbanity,Shape__Length,Shape__Area,cadid,createdate,modifieddate,lganame,councilname,abscode,ltocode,vgcode,wbcode
3287,KYEEMAGH,2216,2,20140220072403,30000101000000,20140220072519.380000,3575,,4fd79a4c-620c-373e-a374-7424bfeb4319,M,,U,4375.536215418296,843584.8775260728,108033109,19950728000000,20140220072252,,,,,,
3289,DARLINGTON,2008,2,20130720002250,30000101000000,20130720002250.489000,3577,,6873f72c-b542-39de-b474-2752e96aec67,M,,U,3441.4346955492865,558065.7680426026,108033111,19950728000000,20111222142615,,,,,,
3290,REDFERN,2016,2,20120118144412,30000101000000,20120118144412.290000,3578,,1d95ae1f-4636-3a02-89ef-a4b070c9d5bb,M,,U,6620.647313102473,1697161.7497237965,108033112,19950728000000,20120118123206,,,,,,
3291,ZETLAND,2017,2,20150713142720,30000101000000,20150713142810.900000,3579,,d77aef4e-8261-3d3d-82fa-a952eeeec4e4,M,,U,4397.982233152868,1174330.9395520082,108033113,19950728000000,20150713142603,,,,,,
3302,BONDI BEACH,2026,2,20141210140217,30000101000000,20141210140228.099000,3591,,24ea0757-cde9-33cb-a875-011b630fad0a,M,,U,6823.973860996488,1759986.869408554,108033125,19950728000000,20141210140133,,,,,,
3321,ASHCROFT,2168,2,20120919015305,30000101000000,20120919015308.577000,3610,,028d8965-a0ac-3737-bc06-eeb13cf08f17,M,,U,7295.690044960811,1689477.2038387682,108033144,19950728000000,20120919014548,,,,,,
3337,GUILDFORD WEST,2161,2,20150115122245,30000101000000,20150115122306.257000,3626,,654e01ea-349e-397a-a548-e54c73e089a2,M,,U,7332.492859153046,2356072.67595154,108033160,19950728000000,20150115122141,,,,,,
4212,WOODCROFT,2767,2,20090906150954,30000101000000,20090906150957.611000,4585,,198c4f0e-d5f3-3631-aa43-2b08a185098a,M,,U,6876.497887784738,2497919.5690697446,108034119,19961029120636,20090905000943,,,,,,
4365,ELIZABETH HILLS,2171,2,20141215093311,30000101000000,20141215093837.817000,5935,,b311e97c-4325-3964-bb61-30bd222590c4,M,,U,5659.251984200223,1655066.1289638781,163493250,20091221145239,20141215092239,,,,,,
4383,SOUTH WENTWORTHVILLE,2145,2,20150220161356,30000101000000,20150220163149.653000,5951,,18b8d842-cd76-33af-a5bb-aa0b95e20b14,M,,U,7602.76131721051,2662629.417691054,164219745,20100611132837,20150220161335,,,,,,
4399,BUNGARRIBEE,2767,2,20130720002250,30000101000000,20130720002250.579000,5974,,7e8b9563-08c0-3129-9c2e-8e2c27da9af2,M,,R,9398.1784814497,5107980.940081621,166314956,20110730023353,20120930121410,,,,,,
4643,HAYMARKET,2000,2,20160308123216,30000101000000,20160308123314.058000,112,,5ee88e4b-7bc4-3d2c-92fe-09023926de49,M,,U,3935.92099724372,757069.1615273106,108029646,19950728000000,20160308123004,,,,,,
4653,ULTIMO,2007,2,20160308123216,30000101000000,20160308123314.195000,1266,,7bdf7cb4-f447-32c7-9269-ed327160286c,M,,U,4060.6257677513477,815421.8255807849,108030800,19950728000000,20160308123004,,,,,,
4678,HABERFIELD,2045,2,20160504160854,30000101000000,20160505114152.680000,47,,ed0db820-562a-3bdc-b8a4-540a56ea948e,M,,U,8322.355778953082,3489802.035635955,108029581,19950728000000,20160504160828,,,,,,
4687,PEAKHURST HEIGHTS,2210,2,20160418134723,30000101000000,20160418135753.292000,93,,5d651a69-f30e-3966-b664-b0dea6b92bf9,M,,U,5963.975342931106,1436635.4309339277,108029627,19950728000000,20160418134641,,,,,,
4775,GLEBE,2037,2,20160418160034,30000101000000,20160418160108.993000,1219,,24cb818b-8c9b-31ae-adf5-8ed94cc09289,M,,U,8632.777508702628,2439729.8957470213,108030753,19950728000000,20160418155954,,,,,,
4779,MORTDALE,2223,2,20160418134723,30000101000000,20160418135753.399000,1249,,e555be17-c823-3c5f-b768-88923ff7118d,M,,U,10962.295699765436,4274018.849263143,108030783,19950728000000,20160418134641,,,,,,
4780,LEICHHARDT,2040,2,20160502072252,30000101000000,20160502073238.449000,1254,,de95476d-452a-3339-ae35-49d155bf5598,M,,U,9156.571717344028,3761187.525532988,108030788,19950728000000,20160502072111,,,,,,
4949,MILSONS POINT,2061,2,20160516160924,30000101000000,20160516161004.036000,3534,,95e7627d-d0a8-34c0-b424-744d5e151405,M,,U,3097.0193671214433,279714.0274595688,108033068,19950728000000,20160516160831,,,,,,
4959,TOONGABBIE,2146,2,20160504110113,30000101000000,20160505113136.204000,3623,,f7ac1b74-54dc-3e6d-b12f-72d05a0e223b,M,,U,17174.298024142532,6853014.286670417,108033157,19950728000000,20160504110042,,,,,,
5017,LAVENDER BAY,2060,2,20160516160924,30000101000000,20160516161004.124000,4590,,925040e9-ffbe-3c2d-94cb-ab13062b7de9,M,,U,3542.455412186635,240158.48124599882,108034124,19961224081353,20160516160831,,,,,,
5030,BARDIA,2565,2,20160316161601,30000101000000,20160316162809.527000,5535,,66c50b64-363c-3348-b685-3da2107b00df,M,,U,8168.410749630675,3115419.6834386676,163494748,20091221190947,20160316161308,,,,,,
5040,BALGOWLAH,2093,2,20160523154938,30000101000000,20160523155011.412000,251,,5c78ffd1-58d7-3325-a3cd-1e30e5e05902,M,,U,8742.412555338411,2817299.5501746866,108029785,19950728000000,20160523154907,,,,,,
